Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl_prop[1]	bl_prop[2]	bl_prop[3]	bl_prop[4]	bl_prop[5]	bl_prop[6]	bl_prop[7]	bl_prop[8]	bl_prop[9]	bl_prop[10]	bl_prop[11]	bl_prop[12]	bl_prop[13]	bl_prop[14]	bl_prop[15]	bl_prop[16]	bl_prop[17]	bl_prop[18]	bl_prop[19]	bl_prop[20]	bl_prop[21]	bl_prop[22]	bl_prop[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	rate_mult[1]	rate_mult[2]	rate_mult[3]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	tl
0	-3912.9	-3942.67	29.7654	0.08821639	0.0532725	0.0880665	0.76248	0.0961812	0.227543	0.20707	0.693239	0.434194	0.00768257	9.56943e-05	0.242536	0.141722	0.16786	0.452047	0.0694203	0.73116	0.584281	1.35492	0.105248	0.332693	0.0719315	1.20772	0.13543	0.416644	0.0959476	0.18589	0.114999	0.0285132	0.0259477	0.0868691	0.0544084	0.000962696	1.19914e-05	0.030392	0.0177591	0.0210343	0.0566456	0.00869899	0.091621	0.0732157	0.169784	0.0131885	0.0416894	0.00901367	0.151338	0.0169706	0.0522093	0.0120231	0.0232937	0.0144104	0.283478	0.284186	0.22492	0.145041	0.0356497	0.0267248	1	2.47686	0.572677	8.27992e-08	0.000427981	0.063921	3.93565	7.98027
10	-2468.33	-2499.84	31.5116	0.07241769	0.172986	0.297093	0.371544	0.158377	0.000979183	0.00200643	0.00258906	0.010251	0.000380506	2.00249e-06	0.000543885	0.0013252	0.000983132	0.000638348	0.000323478	0.00594052	0.00123934	0.0038452	0.000634804	8.00088e-05	0.00413183	0.00330093	0.00230095	0.00124806	0.000325974	0.00139877	0.000604453	0.0217244	0.044515	0.0574414	0.22743	0.00844199	4.44277e-05	0.0120668	0.0294011	0.021812	0.0141625	0.00717675	0.131798	0.0274962	0.0853105	0.0140839	0.00177509	0.0916697	0.0732352	0.0510494	0.0276897	0.00723214	0.0310335	0.0134105	0.278078	0.292223	0.141964	0.0566134	0.153391	0.0777294	1	0.733411	2.126	2.693e-09	7.7289e-05	0.0314134	3.96851	0.04507302
20	-2422.42	-2455.92	33.5064	0.05554807	0.180433	0.317868	0.341198	0.160501	0.00258241	0.0055282	0.00620709	0.00398826	0.00676827	2.04266e-06	0.00216995	0.00137954	0.00331566	0.00042204	0.000549966	0.00368181	0.00286506	0.00554584	0.000129225	7.42152e-05	0.00123606	0.00569149	0.00109817	0.00398317	0.00151193	0.00541593	0.00301642	0.0384501	0.0823105	0.0924186	0.0593821	0.100774	3.04136e-05	0.0323088	0.0205402	0.0493675	0.00628384	0.00818855	0.0548193	0.0426585	0.0825731	0.00192406	0.00110501	0.0184039	0.0847417	0.0163509	0.0593063	0.0225115	0.0806389	0.0449121	0.0907394	0.305832	0.01841	0.0745467	0.417653	0.0928196	1	0.769275	1.24453	8.06535e-12	4.23568e-06	0.00941	3.99059	0.06716277
30	-2413.2	-2444.14	30.9405	0.03800622	0.170148	0.330777	0.332055	0.16702	0.00481996	0.00510673	0.00731115	0.0157223	0.00666817	1.48109e-06	0.000936579	0.00237179	0.00112509	0.00109565	0.000131997	0.0076166	0.00223713	0.00195948	0.000433849	0.000257584	0.00230388	0.00939674	0.00144877	0.00172205	0.00172494	0.00766049	0.000843383	0.0581448	0.0616042	0.0881969	0.189664	0.0804403	1.78669e-05	0.0112983	0.0286118	0.0135723	0.0132171	0.00159232	0.0918816	0.0269873	0.0236379	0.00523367	0.00310732	0.0277924	0.113356	0.017477	0.0207736	0.0208086	0.092411	0.010174	0.089265	0.383695	0.0159608	0.0584436	0.390943	0.0616926	1	0.411319	2.31195	8.04186e-17	1.33947e-08	0.000863582	3.99914	0.08289583
40	-2414.9	-2444.44	29.5353	0.03277474	0.171927	0.348003	0.322451	0.157619	0.000724424	0.00433859	0.00552638	0.00235609	0.00373945	4.35326e-07	0.0013868	0.00100617	0.00116384	0.000556061	0.000285818	0.00358972	0.00108104	0.00161595	0.000318571	0.000212467	0.000862138	0.00555082	0.000718915	0.00186091	0.00501137	0.00458927	0.000650693	0.0153656	0.0920247	0.117219	0.0499743	0.0793166	9.23358e-06	0.0294151	0.0213417	0.0246858	0.0117945	0.0060624	0.0761405	0.0229296	0.0342755	0.00675713	0.00450658	0.0182866	0.117737	0.0152487	0.0394713	0.106295	0.0973418	0.0138017	0.0653525	0.424131	0.0158007	0.0571413	0.360844	0.0767308	1	0.978829	3.17376	2.38342e-19	7.2954e-10	0.000258186	3.99974	0.04714592
50	-2414.69	-2447.89	33.2057	0.02253599	0.173604	0.331897	0.335154	0.159345	0.000880137	0.00732472	0.00482666	0.00498198	0.00533948	2.57024e-06	0.00258465	0.000934436	0.00189988	0.001359	0.000149392	0.00561079	0.00468941	0.00050317	0.000353036	0.000825204	0.00161862	0.00305636	0.000745458	0.000423646	0.00466007	0.00313596	0.00139318	0.0153608	0.127836	0.0842381	0.0869489	0.0931882	4.48577e-05	0.045109	0.0163084	0.0331579	0.0237183	0.00260729	0.0979233	0.0818428	0.00878167	0.00616143	0.014402	0.0282492	0.0533417	0.0130102	0.00739376	0.0813307	0.0547309	0.0243147	0.0567503	0.436264	0.0209228	0.0498333	0.37143	0.0647994	1	0.647215	1.5654	1.07674e-27	4.9078e-14	4.79467e-06	4	0.0572978
60	-2415.32	-2447.46	32.147	0.05117663	0.162619	0.34798	0.311457	0.177944	0.00431849	0.0076004	0.00783952	0.0153086	0.00567391	2.2655e-06	0.0010117	0.00406	0.00368037	0.000166019	0.00169804	0.00856483	0.00451173	0.00246805	0.000523753	0.000314898	0.00220737	0.0058911	0.000910888	0.00336406	0.00508156	0.00495544	0.00110449	0.047322	0.0832852	0.0859054	0.167752	0.0621747	2.48253e-05	0.0110862	0.0444895	0.0403295	0.00181924	0.0186071	0.0938534	0.0494395	0.0270449	0.00573928	0.00345065	0.0241884	0.0645547	0.00998151	0.0368634	0.0556838	0.0543017	0.012103	0.0920392	0.388323	0.0401489	0.0729366	0.315884	0.0906677	1	0.387872	1.62296	9.57477e-13	1.45994e-06	0.00604816	3.99395	0.09125754
70	-2409.48	-2441.33	31.8446	0.004969527	0.183578	0.336482	0.32255	0.157391	0.00239459	0.00396357	0.00438377	0.00720256	0.0102908	3.06236e-06	0.0016899	0.000288369	0.00197061	0.000222358	0.00250215	0.00383465	0.00183964	0.00313919	0.000159501	0.000920477	0.00115973	0.00440739	0.000208925	0.00190891	0.00775132	0.00350482	0.000642661	0.0371895	0.0615567	0.0680826	0.11186	0.159822	4.75603e-05	0.0262452	0.00447855	0.0306048	0.00345336	0.03886	0.0595544	0.0285707	0.0487535	0.00247715	0.0142956	0.0180113	0.0684495	0.00324473	0.0296466	0.120383	0.0544321	0.00998092	0.11373	0.370766	0.0636534	0.0705915	0.309352	0.0719079	1	0.488012	2.17949	3.96792e-122	2.98387e-61	1.21642e-25	4	0.06438896
80	-2418.76	-2449.37	30.6134	0.06167934	0.154796	0.350255	0.331116	0.163833	0.00168101	0.00209507	0.00247413	0.0019628	0.00599678	3.20834e-06	0.00144682	0.0015986	0.000774711	0.000404528	8.43958e-05	0.00618315	0.00144565	0.000396264	0.000359192	0.000142845	0.000950251	0.00196999	0.000406958	0.000635038	0.0064465	0.0042881	0.000342722	0.0399396	0.0497774	0.0587837	0.0466349	0.14248	7.62279e-05	0.0343755	0.0379817	0.0184066	0.00961132	0.00200519	0.146908	0.0343476	0.00941497	0.00853417	0.00339391	0.0225773	0.0468058	0.00966906	0.0150881	0.153165	0.101882	0.00814284	0.0734704	0.334599	0.073075	0.0748379	0.406147	0.0378707	1	0.677465	2.61162	9.62924e-11	1.4628e-05	0.0157397	3.98425	0.04208873
90	-2416.37	-2446.4	30.0383	0.1214279	0.187198	0.31711	0.331613	0.164079	0.00236155	0.003117	0.00262797	0.0083979	0.00860005	1.24763e-05	0.00190987	0.000391526	0.000627465	0.000151148	0.000367873	0.00417933	0.00289517	0.00468781	0.000475609	0.0002354	0.0014138	0.00281581	0.000655692	0.00125802	0.0106944	0.00481701	0.000229187	0.0375314	0.0495375	0.0417655	0.133465	0.136678	0.000198281	0.030353	0.00622239	0.0099721	0.00240214	0.00584648	0.0664207	0.0460121	0.0745019	0.00755869	0.00374113	0.022469	0.0447508	0.0104207	0.0199933	0.169963	0.0765552	0.0036424	0.146077	0.341196	0.0463956	0.0714794	0.355899	0.0389527	1	0.357333	2.1893	6.05872e-06	0.00364916	0.155183	3.84116	0.06292208
100	-2425.71	-2457.55	31.8434	0.07661161	0.202987	0.326088	0.315043	0.155881	0.00246612	0.00237197	0.00487849	0.00131885	0.0103403	1.0947e-05	0.00264221	0.000572806	0.00118114	0.000170208	0.000760801	0.00317901	0.00172392	0.00180678	0.00184412	0.000297984	0.000607665	0.00460345	0.00290889	0.00113346	0.00159635	0.00774659	0.00126184	0.0444956	0.0427968	0.0880214	0.0237957	0.186568	0.000197515	0.0476728	0.010335	0.021311	0.00307102	0.0137269	0.0573582	0.0311043	0.0325993	0.0332731	0.00537644	0.010964	0.0830589	0.0524843	0.0204507	0.0288026	0.13977	0.0227671	0.08297	0.329278	0.065926	0.114318	0.351414	0.0560929	1	0.433497	1.75574	7.67455e-09	0.000130428	0.0390356	3.96083	0.05542393
